Number,Date,TSE:CM(open),TSE:CM(high),TSE:CM(low),TSE:CM(close),TSE:CM(adjusted close),TSE:CM(volume),TSE:CM(dividend amount),TSE:CM(split coefficient)
1217,11/1/2004,73.55,73.7,73.25,73.57,35.0038,1916900,0,1
1218,11/2/2004,73.19,73.9,73.06,73.7,35.0657,696400,0,1
1219,11/3/2004,73.91,74.45,73.45,73.52,34.98,1208600,0,1
1220,11/4/2004,73.18,73.45,73.01,73.25,34.8516,690100,0,1
1221,11/5/2004,73.61,73.61,72.76,72.91,34.6898,735200,0,1
1222,11/8/2004,72.65,72.65,71.76,71.97,34.2426,1264100,0,1
1223,11/9/2004,71.77,72.18,71.31,71.48,34.0094,783000,0,1
1224,11/10/2004,71.5,71.55,71.07,71.15,33.8524,466500,0,1
1225,11/11/2004,71.35,71.94,71.05,71.68,34.1046,561200,0,1
1226,11/12/2004,71.99,72.18,71.21,71.21,33.8809,705300,0,1
1227,11/15/2004,71.8,73,71.58,72.63,34.5566,1556800,0,1
1228,11/16/2004,72.23,72.99,72.15,72.99,34.7278,712000,0,1
1229,11/17/2004,72.98,73.35,72.64,72.93,34.6993,542100,0,1
1230,11/18/2004,72.82,73.08,72.65,72.66,34.5708,529100,0,1
1231,11/19/2004,72.64,72.75,71.9,72.07,34.2901,601600,0,1
1232,11/22/2004,71.83,73.2,71.83,73.16,34.8087,785500,0,1
1233,11/23/2004,73.06,73.24,71.59,72.77,34.6232,1388800,0,1
1234,11/24/2004,72.49,72.6,70.33,70.85,33.7096,1884400,0,1
1235,11/25/2004,70.85,71.4,70.7,71.19,33.8714,246800,0,1
1236,11/26/2004,70.75,71.95,70.75,71.95,34.233,305600,0,1
1237,11/29/2004,71.71,71.8,70.73,70.74,33.6573,432900,0,1
1238,11/30/2004,70.62,71.8,70.25,71.8,34.1617,1072300,0,1
1239,12/1/2004,71.84,73.35,71.7,73.1,34.7802,930800,0,1
1240,12/2/2004,73.3,74,70.97,71.32,33.9333,2609900,0,1
1241,12/3/2004,71.3,71.3,69.84,70.48,33.5336,2241700,0,1
1242,12/6/2004,70.35,71.2,70.25,70.69,33.6335,753900,0,1
1243,12/7/2004,70.73,70.94,70.35,70.45,33.5193,639300,0,1
1244,12/8/2004,70.37,70.56,69.78,70.05,33.329,955600,0,1
1245,12/9/2004,69.95,70,69.26,69.55,33.0911,1024500,0,1
1246,12/10/2004,69.45,69.92,69,69.65,33.1387,1389700,0,1
1247,12/13/2004,70,70.35,69.5,69.8,33.2101,805000,0,1
1248,12/14/2004,70.04,70.37,69.81,70.37,33.4813,1589400,0,1
1249,12/15/2004,70.37,70.6,70.02,70.53,33.5574,538000,0,1
1250,12/16/2004,70.53,71.2,70.5,70.85,33.7096,1012900,0,1
1251,12/17/2004,70.8,71.2,70.8,70.85,33.7096,2121100,0,1
1252,12/20/2004,70.9,71.62,70.9,71.62,34.076,581000,0,1
1253,12/21/2004,71.86,72.59,71.75,72.25,34.3758,528400,0,1
1254,12/22/2004,72.52,73.25,72.28,73.09,34.7754,1052100,0,1
1255,12/23/2004,72.7,72.8,72.05,72.05,34.5882,718800,0,1
1256,12/24/2004,72.05,72.39,72.01,72.18,34.6506,185500,0,1
1257,12/29/2004,72.1,72.38,71.92,72.15,34.6362,593600,0,1
1258,12/30/2004,72.15,72.39,71.9,72.33,34.7226,325700,0,1
1259,12/31/2004,72.26,72.47,72.15,72.23,34.6746,416400,0,1
1260,1/4/2005,72.23,72.59,72.2,72.26,34.689,805800,0,1
1261,1/5/2005,72,72.38,71.8,71.8,34.4682,1089400,0,1
1262,1/6/2005,71.81,72,71.5,71.64,34.3914,803900,0,1
1263,1/7/2005,71.56,71.6,70.76,70.9,34.0361,765500,0,1
1264,1/10/2005,70.8,71.29,70.48,71.28,34.2186,948900,0,1
1265,1/11/2005,71.2,71.37,70.65,71.34,34.2474,1005500,0,1
1266,1/12/2005,71.11,71.3,70.58,71.17,34.1658,589200,0,1
1267,1/13/2005,70.15,70.22,69.75,69.91,33.5609,19897200,0,1
1268,1/14/2005,69.93,70.08,69.86,69.9,33.5561,1223900,0,1
1269,1/17/2005,69.92,70,69.8,69.81,33.5129,327600,0,1
1270,1/18/2005,69.78,69.87,69.52,69.75,33.4841,1466800,0,1
1271,1/19/2005,69.81,69.87,69.03,69.3,33.268,2329800,0,1
1272,1/20/2005,69.04,69.24,68.76,68.8,33.028,974600,0,1
1273,1/21/2005,68.9,68.9,67.8,67.95,32.62,1305200,0,1
1274,1/24/2005,68.16,68.35,67.66,67.99,32.6392,518400,0,1
1275,1/25/2005,68.19,68.6,68.02,68.41,32.8408,904500,0,1
1276,1/26/2005,68.45,69,68.4,68.85,33.052,1644200,0,1
1277,1/27/2005,69,69,68.55,68.9,33.076,441800,0,1
1278,1/28/2005,68.8,69,68.45,68.72,32.9896,927000,0,1
1279,1/31/2005,68.35,68.8,68.26,68.45,32.86,1005500,0,1
1280,2/1/2005,68.5,68.56,68.06,68.36,32.8168,1235400,0,1
1281,2/2/2005,68.42,68.85,68.25,68.56,32.9128,567000,0,1
1282,2/3/2005,68.67,69,68.35,69,33.124,701900,0,1
1283,2/4/2005,69,69.05,68.85,68.9,33.076,608000,0,1
1284,2/7/2005,69,70.2,68.81,69.72,33.4697,949500,0,1
1285,2/8/2005,69.5,69.6,69.03,69.6,33.4121,1735900,0,1
1286,2/9/2005,69.39,70.1,69.32,70.1,33.6521,717600,0,1
1287,2/10/2005,70.1,70.66,70.05,70.5,33.8441,686300,0,1
1288,2/11/2005,70.5,70.73,70.25,70.56,33.8729,418100,0,1
1289,2/14/2005,70.6,70.95,70.1,70.95,34.0601,1045400,0,1
1290,2/15/2005,70.67,71.15,70.35,70.47,33.8297,555900,0,1
1291,2/16/2005,70.37,70.59,70.19,70.4,33.7961,1093700,0,1
1292,2/17/2005,70.37,70.65,70.19,70.43,33.8105,1065800,0,1
1293,2/18/2005,70.49,70.49,69.9,70.12,33.6617,818100,0,1
1294,2/21/2005,70,70.57,70,70.57,33.8777,309900,0,1
1295,2/22/2005,70.55,70.88,70.05,70.08,33.6425,723500,0,1
1296,2/23/2005,70.5,70.85,70.15,70.5,33.8441,634700,0,1
1297,2/24/2005,70.4,70.4,69.42,70.17,33.6857,1615100,0,1
1298,2/25/2005,70.17,70.49,69.33,69.5,33.3641,2378400,0,1
1299,2/28/2005,69.7,69.89,68.86,68.86,33.0568,2033900,0,1
1300,3/1/2005,69.25,69.87,69.05,69.65,33.4361,1034600,0,1
1301,3/2/2005,69.5,70.5,69.5,70.33,33.7625,1692800,0,1
1302,3/3/2005,70.33,71.09,70.33,70.8,33.9881,903500,0,1
1303,3/4/2005,70.85,71.55,70.75,70.96,34.0649,988700,0,1
1304,3/7/2005,71.07,71.46,70.95,71.25,34.2041,768800,0,1
1305,3/8/2005,71.1,72.15,71.1,72.03,34.5786,1477400,0,1
1306,3/9/2005,72,72.32,71.76,72,34.5642,851900,0,1
1307,3/10/2005,71.75,72.4,71.62,72,34.5642,629100,0,1
1308,3/11/2005,72.32,72.34,71.4,71.55,34.3482,736200,0,1
1309,3/14/2005,71.55,72.32,71.55,72.3,34.7082,642600,0,1
1310,3/15/2005,72.36,72.95,72.36,72.71,34.905,1307000,0,1
1311,3/16/2005,72.73,72.8,72.2,72.65,34.8762,651400,0,1
1312,3/17/2005,72.8,72.87,72.25,72.6,34.8522,526600,0,1
1313,3/18/2005,72.4,72.49,71.6,71.6,34.3722,1910000,0,1
1314,3/21/2005,71.75,72.11,71.16,71.4,34.2762,953800,0,1
1315,3/22/2005,71.26,72.35,71.26,72.35,34.7322,1781000,0,1
1316,3/23/2005,71.52,71.65,71,71.15,34.4658,985200,0,1
1317,3/24/2005,71.3,71.45,71.15,71.25,34.5142,1064700,0,1
1318,3/28/2005,71.35,71.72,71.25,71.3,34.5385,812100,0,1
1319,3/29/2005,71.33,71.73,71.29,71.48,34.6257,849500,0,1
1320,3/30/2005,71.6,72.24,71.56,72.1,34.926,971600,0,1
1321,3/31/2005,72.49,73.6,72.4,73.36,35.5363,1163700,0,1
1322,4/1/2005,73.6,74.08,73.3,73.8,35.7495,1133900,0,1
1323,4/4/2005,73.5,73.9,73.35,73.38,35.546,1061900,0,1
1324,4/5/2005,73.49,73.97,73.38,73.83,35.764,417900,0,1
1325,4/6/2005,73.83,74.25,73.67,73.95,35.8221,1024900,0,1
1326,4/7/2005,73.99,74.23,73.01,73.01,35.3668,458400,0,1
1327,4/8/2005,73.35,73.65,73.05,73.15,35.4346,452800,0,1
1328,4/11/2005,73.16,73.87,73.16,73.76,35.7301,349700,0,1
1329,4/12/2005,73.99,74.3,73.55,74.1,35.8948,836900,0,1
1330,4/13/2005,74.34,74.74,73.96,74.01,35.8512,931000,0,1
1331,4/14/2005,74.26,74.7,73.95,74.35,36.0159,475000,0,1
1332,4/15/2005,74.35,74.35,72.75,72.76,35.2457,1035700,0,1
1333,4/18/2005,72.51,73.74,72.51,73.2,35.4588,657700,0,1
1334,4/19/2005,73.7,73.8,72.9,73.1,35.4104,912800,0,1
1335,4/20/2005,72.87,73.58,72.87,73.38,35.546,435300,0,1
1336,4/21/2005,73.5,74.27,73.42,74.17,35.9287,1592700,0,1
1337,4/22/2005,74.15,74.48,73.57,73.57,35.6381,637300,0,1
