Number,Date,TSE:CM(open),TSE:CM(high),TSE:CM(low),TSE:CM(close),TSE:CM(adjusted close),TSE:CM(volume),TSE:CM(dividend amount),TSE:CM(split coefficient)
1338,4/25/2005,73.61,74.58,73.57,74,35.8464,724700,0,1
1339,4/26/2005,73.88,74.1,73.45,73.75,35.7253,1366900,0,1
1340,4/27/2005,73.4,74.1,73.4,73.74,35.7204,978000,0,1
1341,4/28/2005,73.65,74.4,73.51,74.29,35.9868,885000,0,1
1342,4/29/2005,74.5,74.77,74.3,74.75,36.2097,659300,0,1
1343,5/2/2005,74.67,75.5,74.67,74.93,36.2969,890200,0,1
1344,5/3/2005,75,75.24,74.22,74.27,35.9771,686900,0,1
1345,5/4/2005,74.36,74.98,74.3,74.83,36.2484,684900,0,1
1346,5/5/2005,74.63,75.04,74.25,74.31,35.9965,1861900,0,1
1347,5/6/2005,74.7,75.17,74.55,75.16,36.4083,1077300,0,1
1348,5/9/2005,75.16,76.1,75.16,75.9,36.7668,1194000,0,1
1349,5/10/2005,75.85,76.23,75.52,75.59,36.6166,1042600,0,1
1350,5/11/2005,75.9,75.9,75.05,75.11,36.384,719300,0,1
1351,5/12/2005,75.4,75.45,74.46,74.69,36.1806,838300,0,1
1352,5/13/2005,74.75,75.04,74.18,74.4,36.0401,414900,0,1
1353,5/16/2005,74.84,75.05,74.57,74.68,36.1758,568500,0,1
1354,5/17/2005,74.89,75.01,74.38,74.53,36.1031,585800,0,1
1355,5/18/2005,74.93,75.07,74.75,74.75,36.2097,379100,0,1
1356,5/19/2005,74.98,75.5,74.9,75.34,36.4955,495800,0,1
1357,5/20/2005,75.34,75.4,75.15,75.27,36.4616,580600,0,1
1358,5/24/2005,75.35,75.55,74.78,74.78,36.2242,1174200,0,1
1359,5/25/2005,74.78,74.8,73.05,73.1,35.4104,1528400,0,1
1360,5/26/2005,73.02,73.02,72.2,72.44,35.0907,1029400,0,1
1361,5/27/2005,72.31,72.4,71.95,72.2,34.9744,1051100,0,1
1362,5/30/2005,72.22,72.87,72.19,72.87,35.299,350200,0,1
1363,5/31/2005,72.76,73.3,72.55,72.59,35.1633,1176700,0,1
1364,6/1/2005,72.46,72.91,72.35,72.52,35.1294,1659000,0,1
1365,6/2/2005,72.41,72.69,72.15,72.15,34.9502,1560100,0,1
1366,6/3/2005,72.12,72.75,72.12,72.7,35.2166,841400,0,1
1367,6/6/2005,72.77,73.37,72.52,73.1,35.4104,713600,0,1
1368,6/7/2005,73.1,73.85,73.1,73.45,35.5799,1519500,0,1
1369,6/8/2005,73.8,74.27,73.55,74.15,35.919,1417300,0,1
1370,6/9/2005,74.26,75.18,74.1,74.8,36.2339,1587700,0,1
1371,6/10/2005,74.72,74.8,74.3,74.62,36.1467,704900,0,1
1372,6/13/2005,74.6,75.11,74.53,74.96,36.3114,1322100,0,1
1373,6/14/2005,74.75,74.95,74.38,74.51,36.0934,2713100,0,1
1374,6/15/2005,74.51,75.25,74.17,74.8,36.2339,1126800,0,1
1375,6/16/2005,74.7,75.29,74.7,75.23,36.4422,863000,0,1
1376,6/17/2005,75.52,75.7,75,75.4,36.5246,3168800,0,1
1377,6/20/2005,75.26,75.95,75.26,75.76,36.6989,516600,0,1
1378,6/21/2005,75.83,75.96,75.6,75.6,36.6214,920100,0,1
1379,6/22/2005,75.62,76.94,75.62,76.94,37.2705,1333900,0,1
1380,6/23/2005,76.65,77.73,76.65,77.52,37.5515,1531100,0,1
1381,6/24/2005,77,77.25,76.75,76.85,37.5564,1536500,0,1
1382,6/27/2005,76.85,77,76.35,76.65,37.4586,975200,0,1
1383,6/28/2005,76.63,77.35,76.4,77.05,37.6541,706100,0,1
1384,6/29/2005,77.15,77.15,76.46,76.63,37.4488,598500,0,1
1385,6/30/2005,76.49,76.7,75.79,75.79,37.0384,747800,0,1
1386,7/4/2005,75.9,76.2,75.66,75.85,37.0677,528300,0,1
1387,7/5/2005,75.64,76.68,75.61,76.22,37.2485,847300,0,1
1388,7/6/2005,76.07,76.35,75.68,75.96,37.1214,848000,0,1
1389,7/7/2005,75.6,76.37,75.6,75.92,37.1019,443200,0,1
1390,7/8/2005,76,76.35,75.77,76.27,37.2729,601300,0,1
1391,7/11/2005,76.02,76.9,76.02,76.58,37.4244,593500,0,1
1392,7/12/2005,76.59,76.85,75.88,75.92,37.1019,589100,0,1
1393,7/13/2005,76.08,76.45,75.94,76.05,37.1654,481700,0,1
1394,7/14/2005,76.37,76.47,75.74,75.74,37.0139,783900,0,1
1395,7/15/2005,75.99,76.5,75.74,76.5,37.3853,769600,0,1
1396,7/18/2005,76.72,77.7,76.71,77.4,37.8252,600500,0,1
1397,7/19/2005,77.4,78,77.35,77.56,37.9034,546300,0,1
